[11-Jun-2024 14:53:30 UTC] PHP Deprecated:  Creation of dynamic property Dsm_Supreme_Modules_Pro_For_Divi::$settings_api is deprecated in /var/www/html/wp-content/plugins/supreme-modules-pro-for-divi/includes/class-dsm-supreme-modules-pro-for-divi.php on line 183
[11-Jun-2024 14:53:38 UTC] PHP Deprecated:  Creation of dynamic property DpDiviFilterGrid::$icon_path is deprecated in /var/www/html/wp-content/themes/Divi/includes/builder/class-et-builder-element.php on line 1417
[11-Jun-2024 14:53:38 UTC] PHP Deprecated:  Optional parameter $content declared before required parameter $render_slug is implicitly treated as a required parameter in /var/www/html/wp-content/plugins/supreme-modules-pro-for-divi/includes/modules/AnimatedGradientText/AnimatedGradientText.php on line 210
[11-Jun-2024 14:53:38 UTC] PHP Deprecated:  Creation of dynamic property DSM_AnimatedGradientText::$icon_path is deprecated in /var/www/html/wp-content/themes/Divi/includes/builder/class-et-builder-element.php on line 1417
[11-Jun-2024 14:53:39 UTC] PHP Deprecated:  Optional parameter $content declared before required parameter $render_slug is implicitly treated as a required parameter in /var/www/html/wp-content/plugins/supreme-modules-pro-for-divi/includes/modules/Badges/Badges.php on line 184
[11-Jun-2024 14:53:39 UTC] PHP Deprecated:  Creation of dynamic property DSM_Text_Badges::$icon_path is deprecated in /var/www/html/wp-content/themes/Divi/includes/builder/class-et-builder-element.php on line 1417
[11-Jun-2024 14:53:39 UTC] PHP Deprecated:  Optional parameter $content declared before required parameter $render_slug is implicitly treated as a required parameter in /var/www/html/wp-content/plugins/supreme-modules-pro-for-divi/includes/modules/BeforeAfterImage/BeforeAfterImage.php on line 404
[11-Jun-2024 14:53:39 UTC] PHP Deprecated:  Creation of dynamic property DSM_Before_After_Image::$icon_path is deprecated in /var/www/html/wp-content/themes/Divi/includes/builder/class-et-builder-element.php on line 1417
[11-Jun-2024 14:53:39 UTC] PHP Deprecated:  Optional parameter $content declared before required parameter $render_slug is implicitly treated as a required parameter in /var/www/html/wp-content/plugins/supreme-modules-pro-for-divi/includes/modules/BlobImage/BlobImage.php on line 518
[11-Jun-2024 14:53:39 UTC] PHP Deprecated:  Automatic conversion of false to array is deprecated in /var/www/html/wp-content/plugins/supreme-modules-pro-for-divi/includes/modules/BlobImage/BlobImage.php on line 416
[11-Jun-2024 14:53:39 UTC] PHP Deprecated:  Optional parameter $content declared before required parameter $render_slug is implicitly treated as a required parameter in /var/www/html/wp-content/plugins/supreme-modules-pro-for-divi/includes/modules/BlockRevealImage/BlockRevealImage.php on line 450
